day,hour,value
1,0,789
1,1,659
1,2,524
1,3,466
1,4,381
1,5,301
1,6,317
1,7,435
1,8,614
1,9,721
1,10,830
1,11,844
1,12,855
1,13,912
1,14,914
1,15,1094
1,16,1041
1,17,1129
1,18,1153
1,19,1167
1,20,1154
1,21,1136
1,22,949
1,23,834
2,0,664
2,1,539
2,2,452
2,3,377
2,4,336
2,5,311
2,6,295
2,7,460
2,8,601
2,9,699
2,10,804
2,11,769
2,12,849
2,13,896
2,14,982
2,15,1104
2,16,1069
2,17,1090
2,18,1161
2,19,1207
2,20,1257
2,21,1183
2,22,1010
2,23,802
3,0,674
3,1,555
3,2,511
3,3,401
3,4,339
3,5,320
3,6,287
3,7,476
3,8,646
3,9,705
3,10,801
3,11,754
3,12,795
3,13,926
3,14,1020
3,15,1091
3,16,1073
3,17,1062
3,18,1213
3,19,1225
3,20,1269
3,21,1157
3,22,1014
3,23,929
4,0,681
4,1,605
4,2,492
4,3,414
4,4,358
4,5,298
4,6,292
4,7,427
4,8,651
4,9,782
4,10,745
4,11,760
4,12,831
4,13,885
4,14,990
4,15,1118
4,16,1104
4,17,1187
4,18,1103
4,19,1230
4,20,1172
4,21,1208
4,22,1129
4,23,897
5,0,729
5,1,618
5,2,511
5,3,463
5,4,402
5,5,328
5,6,307
5,7,486
5,8,642
5,9,689
5,10,761
5,11,768
5,12,818
5,13,915
5,14,1033
5,15,1063
5,16,1172
5,17,1152
5,18,1146
5,19,1255
5,20,1279
5,21,1265
5,22,1157
5,23,990
6,0,921
6,1,851
6,2,796
6,3,835
6,4,737
6,5,698
6,6,564
6,7,473
6,8,526
6,9,647
6,10,793
6,11,820
6,12,842
6,13,936
6,14,951
6,15,1001
6,16,1103
6,17,1172
6,18,1177
6,19,1219
6,20,1240
6,21,1195
6,22,1162
6,23,1091
7,0,940
7,1,996
7,2,856
7,3,829
7,4,743
7,5,660
7,6,628
7,7,477
7,8,475
7,9,561
7,10,711
7,11,842
7,12,810
7,13,933
7,14,956
7,15,961
7,16,1039
7,17,1101
7,18,1172
7,19,1163
7,20,1133
7,21,1138
7,22,1023
7,23,924
